Melbourne|-37.49,144.58,25|2017-08-29 12:37:38|Rain|9.7|70.1|1020 
Melbourne|-37.49,144.58,25|2017-08-30 12:37:38|Cool|12.3|64.1|1024 
Melbourne|-37.49,144.58,25|2017-08-31 12:37:38|Rain|11.8|65.4|1016 
Melbourne|-37.49,144.58,25|2017-09-01 12:37:38|Fog|12.0|78.7|1010 
Melbourne|-37.49,144.58,25|2017-09-02 12:37:38|Rain|11.2|69.9|1020 
Melbourne|-37.49,144.58,25|2017-09-03 12:37:38|Cool|10.8|60.9|1019 
Melbourne|-37.49,144.58,25|2017-09-04 12:37:38|Rain|11.8|69.5|1011 
Melbourne|-37.49,144.58,25|2017-09-05 12:37:38|Rain|12.4|66.8|1017 
Sydney|-33.52,151.13,58|2017-08-29 12:37:38|Cool|15.0|62.7|1019 
Sydney|-33.52,151.13,58|2017-08-30 12:37:38|Fog|15.0|76.0|1013 
Sydney|-33.52,151.13,58|2017-08-31 12:37:38|Cool|13.9|58.2|1018 
Sydney|-33.52,151.13,58|2017-09-01 12:37:38|Cool|16.4|56.9|1016 
Sydney|-33.52,151.13,58|2017-09-02 12:37:38|Cool|10.9|63.3|1015 
Sydney|-33.52,151.13,58|2017-09-03 12:37:38|Rain|17.3|70.9|1018 
Sydney|-33.52,151.13,58|2017-09-04 12:37:38|Cool|16.5|63.5|1030 
Sydney|-33.52,151.13,58|2017-09-05 12:37:38|Warm|21.2|48.6|1018 
Adelaide|-34.56,138.36,59|2017-08-29 12:37:38|Rain|12.4|65.3|1018 
Adelaide|-34.56,138.36,59|2017-08-30 12:37:38|Cool|12.7|60.9|1020 
Adelaide|-34.56,138.36,59|2017-08-31 12:37:38|Rain|11.5|65.5|1023 
Adelaide|-34.56,138.36,59|2017-09-01 12:37:38|Rain|12.9|66.6|1010 
Adelaide|-34.56,138.36,59|2017-09-02 12:37:38|Fog|12.1|80.1|1018 
Adelaide|-34.56,138.36,59|2017-09-03 12:37:38|Cool|14.7|59.3|1009 
Adelaide|-34.56,138.36,59|2017-09-04 12:37:38|Rain|13.6|68.9|1016 
Adelaide|-34.56,138.36,59|2017-09-05 12:37:38|Cool|14.5|64.8|1019
